"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"18308",2001,"European Communities (EC)","Croatia","Banking and financial services","II.4. Banking & Financial Services",76075156
"18433",1999,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",272862
"18646",2000,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",158584
"19000",1997,"Netherlands","Croatia","Emergency response","VIII.1. Emergency Response",406110
"19137",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",8037
"20032",2006,"Greece","Croatia","Post-secondary education","IV.2. Other Multisector",5143
"20165",2001,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",114843
"20604",2006,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",197117
"21334",2007,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",8283
"21353",2008,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",32578
"21564",1998,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",475365
"21790",2007,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",313909
"21797",2004,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4685
"21988",2000,"Germany","Croatia","","I.5.a. Government & Civil Society-general",792922
"22253",2007,"United States","Croatia","Emergency response","VIII.1. Emergency Response",21343
"22274",2006,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",672102
"22329",2003,"Greece","Croatia","Trade policy and regulations","III.3.a. Trade Policies & Regulations",42245
"22719",2008,"Germany","Croatia","Energy generation and supply","II.3. Energy",71566111
"22846",2005,"Switzerland","Croatia","","XII. Unallocated / Unspecified",6089
"22855",2006,"United States","Croatia","Other","IV.2. Other Multisector",1367139
"22990",2000,"Switzerland","Croatia","Emergency response","VIII.1. Emergency Response",1485753
"23017",2002,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",556745
"23146",2002,"France","Croatia","Communications","II.2. Communications",10978
"23304",2003,"United States","Croatia","Other","IV.2. Other Multisector",40943
"23687",2003,"France","Croatia","General environmental protection","IV.1. General Environment Protection",18111
"23718",1997,"Austria","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",157474
"23787",1995,"Sweden","Croatia","Other","IV.2. Other Multisector",15633
