"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"610901",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",8668
"610902",2009,"Spain","Croatia","","II.4. Banking & Financial Services",18420
"610904",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",6483
"610905",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",15602
"610906",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",16631
"610907",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",12938
"610908",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",3101
"610909",2009,"Spain","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",53020
"617854",2009,"United States","Croatia","","I.5.b. Conflict, Peace & Security",330516
"627825",2009,"United States","Croatia","","I.5.b. Conflict, Peace & Security",230192
"628145",2009,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",325703
"628308",2009,"United States","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",93147
"628526",2009,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",71050
"628567",2009,"United States","Croatia","","I.5.a. Government & Civil Society-general",178
"628568",2009,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",186294
"628569",2009,"United States","Croatia","","II.3. Energy",22667
"628571",2009,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",2069929
"628572",2009,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",222517
"633937",2009,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",27944
"634474",2009,"Japan","Croatia","","I.1.d. Post-Secondary Education",41149
"634798",2009,"France","Croatia","","IX. Administrative Costs of Donors",707835
"634817",2009,"Switzerland","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",56999
"635462",2009,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2202
"637788",2009,"Finland","Croatia","","IX. Administrative Costs of Donors",121291
"637790",2009,"Finland","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",1902
"637938",2009,"Greece","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",767
"638916",2009,"United States","Croatia","Emergency response","VIII.1. Emergency Response",20699
"643062",2009,"Japan","Croatia","","I.4. Water Supply & Sanitation",1958
"643216",2009,"Japan","Croatia","Business and other services","II.5. Business & Other Services",20100
"644365",2009,"Japan","Croatia","","X. Support to NGO's",426194
"644486",2009,"Japan","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",22496
"646158",2005,"Japan","Croatia","Unallocated/  unspecified","II.5. Business & Other Services",22280
"646317",2001,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",39213
"646463",2005,"Japan","Croatia","Unallocated/  unspecified","III.3.a. Trade Policies & Regulations",18581
"646574",2004,"Austria","Croatia","Business and other services","I.5.a. Government & Civil Society-general",284526
"646608",2000,"Austria","Croatia","Unallocated/  unspecified","VIII.1. Emergency Response",12180
"646885",1997,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",1064206
"647069",2002,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",4247472
"647205",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",39293
"647352",2001,"Italy","Croatia","Emergency response","XI. Refugees in Donor Countries",2528
"647446",2004,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",2278
"647567",2005,"Netherlands","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",301374
"648206",1998,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1372
"648525",2001,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",204484
"648558",2008,"Belgium","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",42743
"648706",2006,"Germany","Croatia","","I.5.a. Government & Civil Society-general",24467
"648892",2006,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4392
"648901",2000,"United Kingdom","Croatia","Health, general","I.2.a. Health, General",831309
"649321",2001,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",61042
"649585",2000,"Norway","Croatia","Emergency response","VIII.1. Emergency Response",404950
"650174",1996,"Canada","Croatia","Industry","III.2.a. Industry",43483
"650246",2005,"Switzerland","Croatia","","XII. Unallocated / Unspecified",9743
"650318",2006,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",541931
"650346",2008,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",74378
"650399",2008,"United Nations Children`s Fund (UNICEF)","Croatia","Other","IV.2. Other Multisector",327036
"650525",2004,"Norway","Croatia","Emergency response","VIII.2. Reconstruction Relief & Rehabilitation",89418
"650775",2007,"Sweden","Croatia","Fishing","I.5.a. Government & Civil Society-general",30167
"650987",2002,"United States","Croatia","Other","IV.2. Other Multisector",19513976
"651372",1998,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1268668
"651557",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",9923
"651750",2001,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",76579
"652557",2000,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",70529
"653379",2005,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",95567
"654505",2005,"Spain","Croatia","","I.1.c. Secondary Education",331
"654714",1997,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",569233
"654754",2005,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",176839
"654854",2001,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",1102951
"654978",2000,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3403735
"655275",2001,"United States","Croatia","Basic health","I.2.b. Basic Health",374833
"656129",2004,"Japan","Croatia","Transport and storage","IV.1. General Environment Protection",122032
"656272",2005,"Canada","Croatia","Industry","III.2.a. Industry",173875
"656274",2001,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",615231
"656286",2008,"France","Croatia","Other","IV.2. Other Multisector",448198
"656745",1997,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",24975
"656766",2006,"Norway","Croatia","General environmental protection","IV.1. General Environment Protection",360208
"656830",2007,"Japan","Croatia","Unallocated/  unspecified","I.1.d. Post-Secondary Education",23134
"656845",2002,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",222698
"657535",2003,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",22880
"657765",2005,"Spain","Croatia","","I.6. Other Social Infrastructure & Services",21215
"658082",2001,"Austria","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",40757
"658113",2000,"Norway","Croatia","Energy generation and supply","II.3. Energy",417258
"658475",1998,"Italy","Croatia","Tourism","III.3.b. Tourism",132909
"659084",2008,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4923
"659512",2002,"United States","Croatia","","I.5.a. Government & Civil Society-general",1069697
"659896",2003,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",1196535
"659919",2003,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",8049
"660427",2003,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",5838350
"660556",2000,"United States","Croatia","Other","I.5.a. Government & Civil Society-general",401191
"661658",2008,"Germany","Croatia","","I.1.d. Post-Secondary Education",837
"661785",1998,"United Kingdom","Croatia","Banking and financial services","II.4. Banking & Financial Services",64059
"662053",2001,"Norway","Croatia","","IV.1. General Environment Protection",1093743
"662150",2008,"Luxembourg","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",79011
"662170",2006,"United States","Croatia","Business and other services","II.5. Business & Other Services",30747
"662432",2006,"Belgium","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1532
"662671",2008,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",897541
"662929",2008,"Joint United Nations Programme on HIV/AIDS (UNAIDS)","Croatia","","I.3. Population Pol./Progr. & Reproductive Health",87549
"662931",2005,"Japan","Croatia","Unallocated/  unspecified","II.4. Banking & Financial Services",15441
"662932",2007,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1285368
"663224",2005,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",28526
"663340",2001,"Norway","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",109374
"663908",1999,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",191495
